wordtype,word,sentence,Reaction Time,Interpretation,Session Number
positive,Kind,A friend insists on paying for dinner,0,Null,1
negative,Pity,A friend insists on paying for dinner,0,Null,1
positive,Supportive,A friend suggests you join their gym,0,Null,1
negative,Judgemental,A friend suggests you join their gym,0,Null,1
positive,Accomplishment,After working hard you finally complete a task,0,Null,1
negative,Slow,After working hard you finally complete a task,0,Null,1
neutral,Space,No one sits next to you on the bus,0,Null,1
negative,Stink,No one sits next to you on the bus,0,Null,1
Unrelated,Shoe,People in class laugh at your presentation,0,Null,1
Related,Speech,People in class laugh at your presentation,0,Null,1
positive,Witty,People in class laugh at your presentation,0,Null,1
negative,Embarrassed,People in class laugh at your presentation,0,Null,1
positive,Trustworthy,You are asked to assume new responsibility,0,Null,1
negative,Inadequate ,You are asked to assume new responsibility,0,Null,1
positive,Acceptable,You didn't get everything done today,0,Null,1
negative,Failure,You didn't get everything done today,0,Null,1
Unrelated,Squirrel,You drop your cellphone and it cracks,0,Null,1
Related,Glass,You drop your cellphone and it cracks,0,Null,1
positive,Upgrade,You drop your cellphone and it cracks,0,Null,1
negative,Clumsy,You drop your cellphone and it cracks,0,Null,1
Unrelated,Castle,You forgot to buy an ingredient for dinner,0,Null,1
Related,Groceries,You forgot to buy an ingredient for dinner,0,Null,1
neutral,Improvise,You forgot your line in the play,0,Null,1
negative,Ruined,You forgot your line in the play,0,Null,1
neutral,Volunteers,You get called to the principal's office,0,Null,1
negative,Problem,You get called to the principal's office,0,Null,1
neutral,Delayed,You get stuck in bad traffic,0,Null,1
negative,Doomed,You get stuck in bad traffic,0,Null,1
positive,Improvement,You go for a run and stop after one mile,0,Null,1
negative,Weak,You go for a run and stop after one mile,0,Null,1
neutral,Unnoticed,You hands tremble while giving a speech,0,Null,1
negative,Ruined,You hands tremble while giving a speech,0,Null,1
Unrelated,Bike,You have not heard back from a friend,0,Null,1
Related,Phone,You have not heard back from a friend,0,Null,1
neutral,Busy,You have not heard back from a friend,0,Null,1
negative,Failure ,You have not heard back from a friend,0,Null,1
neutral,Opportunity,You have only one friend,0,Null,1
negative,Loser,You have only one friend,0,Null,1
positive,Efficient,You hit send on an email before checking it,0,Null,1
negative,Mistakes,You hit send on an email before checking it,0,Null,1
neutral,Dryout,You leave your car windows open during a rain storm,0,Null,1
negative,Destroyed,You leave your car windows open during a rain storm,0,Null,1
neutral,Unnoticed,You make a small mistake at school,0,Null,1
negative,Failed,You make a small mistake at school,0,Null,1
positive,Friendly,You make small talk with people at lunch,0,Null,1
